SID,Male_Female,Cgpa,Total_Credit_Completed,Result_status
4,M,3.15,141,VeryPoor
5,F,3.04,160,Moderate
7,M,2.9,160,Poor
8,M,3.22,159,Moderate
9,M,3.95,160,Excellent
10,M,3.14,162,Moderate
11,M,2.94,159,Poor
12,M,2.82,151,VeryPoor
13,M,3.55,160,Good
15,M,3.53,160,Good
16,M,3.36,160,Moderate
17,M,2.95,160,Poor
18,M,3.15,158,Moderate
20,M,3.14,159,Moderate
21,M,3.27,162,Moderate
22,M,3.39,153,VeryPoor
23,M,2.63,153,VeryPoor
24,M,3.74,162,VeryGood
25,M,3.53,162,Good
26,M,3.57,162,Good
44,M,2.81,158,Poor
45,M,3.68,158,VeryGood
46,F,3.56,162,Good
47,M,3.28,162,Moderate
48,M,3.51,162,Good
50,F,3.15,161,Moderate
129,M,3.14,160,Moderate
130,F,2.98,149,VeryPoor
131,F,3.92,161,Excellent
133,F,3.24,161,Moderate
134,M,3.51,161,Good
135,M,3.08,161,Moderate
136,M,2.95,161,Poor
137,M,3.01,160,Moderate
138,M,3.72,158,VeryGood
139,M,3.24,162,Moderate
140,M,3.43,160,Moderate
141,M,3.74,158,VeryGood
142,M,3.8,160,Excellent
147,M,2.42,35,VeryPoor
154,M,2.81,162,Poor
169,F,3.75,158,VeryGood
170,F,3.45,162,Moderate
171,F,3.57,158,Good
172,F,3.64,162,Good
173,M,2.57,156,VeryPoor
174,M,3.46,162,Moderate
175,M,3.06,162,Moderate
176,M,3.21,162,Moderate
177,M,3.45,162,Moderate
178,M,3.56,162,Good
179,M,3.18,162,Moderate
180,F,3.77,158,VeryGood
181,F,3.03,151,VeryPoor
182,F,3.17,160,Moderate
184,M,3.72,159,VeryGood
185,M,2.72,147,VeryPoor
186,M,3.57,162,Good
187,M,3.64,162,Good
188,M,3.85,162,Excellent
189,M,3.48,162,Moderate
190,M,3.46,160,Moderate
191,M,3.11,158,Moderate
192,M,3.26,162,Moderate
193,M,3.12,162,Moderate
194,M,3.74,158,VeryGood
196,M,2.9,160,Poor
197,M,3.15,160,Moderate
212,M,2.83,172,Poor
220,M,2.37,126,VeryPoor
254,M,2.52,190,Poor
257,F,2.88,160,Poor
344,M,3.71,162,VeryGood
345,M,3.27,162,Moderate
346,M,3.05,155,VeryPoor
347,F,3.87,158,Excellent
376,M,2.67,189,Poor
442,M,3.47,158,Moderate
448,F,3.58,160,Good
450,M,3.6,162,Good
452,M,2.61,151,VeryPoor
456,M,3.32,159,Moderate
458,M,2.41,140,VeryPoor
459,M,2.97,180,Poor
460,M,2.61,138,VeryPoor
461,M,2.99,155,VeryPoor
462,F,3.06,159,Moderate
465,M,3.44,160,Moderate
466,M,3.82,158,Excellent
467,M,3.31,158,Moderate
468,M,2.89,160,Poor
469,F,3.42,158,Moderate
471,F,3.64,158,Good
472,F,3.75,158,VeryGood
473,F,3.61,158,Good
474,M,3.27,158,Moderate
475,F,3.7,158,VeryGood
476,M,3.82,158,Excellent
477,F,3.18,160,Moderate
478,F,3.19,160,Moderate
479,M,3.85,158,Excellent
480,M,3.28,162,Moderate
500,M,3.07,153,VeryPoor
501,M,3.48,162,Moderate
502,M,3.08,160,Moderate
503,M,3.5,160,Good
504,M,3.18,160,Moderate
505,M,3.69,160,VeryGood
506,M,3.06,160,Moderate
507,M,3.9,158,Excellent
508,M,3.02,160,Moderate
509,M,3.37,158,Moderate
510,M,3.6,162,Good
511,F,3.41,160,Moderate
512,F,2.66,142,VeryPoor
513,M,3.47,158,Moderate
609,M,3.41,160,Moderate
610,F,3.25,160,Moderate
611,M,3.88,158,Excellent
612,M,3.03,159,Moderate
617,M,3.18,160,Moderate
618,M,3.56,160,Good
619,M,3.58,160,Good
635,M,3.35,159,Moderate
636,M,3.89,162,Excellent
637,M,3.86,160,Excellent
638,F,3.11,160,Moderate
639,F,3.68,162,VeryGood
642,M,3.67,162,VeryGood
643,M,3.16,162,Moderate
644,M,2.87,158,Poor
647,M,2.87,161,Poor
649,M,3.32,162,Moderate
650,M,3.05,162,Moderate
651,M,3.23,155,VeryPoor
652,M,3.05,162,Moderate
653,M,3.78,162,VeryGood
654,M,2.96,162,Poor
655,M,3.22,162,Moderate
656,M,3.67,162,VeryGood
659,M,3.25,162,Moderate
661,M,3.31,160,Moderate
